 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
 -0.2000000000000000E+01  -0.7798574740577023-307   0.4327515993663050E+00  -0.7067264918515828E+03
 -0.2020099324185751E+01   0.1974377884473138E-17   0.4396812263054934E+00  -0.3673647245144439E+02
 -0.2040400639787863E+01  -0.5798751648261483-307   0.4466328336405621E+00  -0.7070194932043582E+03
 -0.2060905976751818E+01  -0.7157829895178001E-18   0.4536065355888151E+00  -0.3673675797611418E+02
 -0.2081617385423361E+01   0.8097320003786185-307   0.4606024470360977E+00  -0.7066806834833715E+03
 -0.2102536936753516E+01   0.2835764040049141E-17   0.4676206835405862E+00  -0.3604348839309512E+02
 -0.2123666722505680E+01   0.4150600458482689E-17   0.4746613613365974E+00  -0.3604330223434063E+02
 -0.2145008855464745E+01   0.5035841442956600-307   0.4817245973384024E+00  -0.7067138329371468E+03
 -0.2166565469648392E+01  -0.8691779241640432E-18   0.4888105091440745E+00  -0.3673673974048000E+02
 -0.2188338720520450E+01  -0.9453778815877851E-18   0.4959192150393381E+00  -0.3673672906926208E+02
 -0.2210330785206438E+01   0.1827002669183383E-17   0.5030508340014470E+00  -0.3673653529612989E+02
 -0.2232543862711241E+01   0.2042833572782541E-15   0.5102054857030712E+00  -0.3555674673388094E+02
 -0.2254980174139010E+01   0.2254922484182471E-17   0.5173832905162055E+00  -0.3673640172095096E+02
 -0.2277641962915239E+01   0.8306268379977348E-23   0.5245843695160891E+00  -0.3604365338911715E+02
 -0.2300531495011090E+01  -0.8712401655650824-307   0.5318088444851521E+00  -0.7065501428711968E+03
 -0.2323651059169967E+01  -0.2527901140115496E-18   0.5390568379169651E+00  -0.3673679565182349E+02
 -0.2347002967136379E+01   0.5278802396023212-307   0.5463284730202222E+00  -0.7066300924037233E+03
 -0.2370589553887076E+01  -0.6203851351615402E-16   0.5536238737227216E+00  -0.3597543692067948E+02
 -0.2394413177864541E+01   0.2101222477713756E-17   0.5609431646753837E+00  -0.3673646749150142E+02
 -0.2418476221212807E+01   0.4143668439385912-307   0.5682864712562707E+00  -0.7068599143018170E+03
 -0.2442781090015650E+01   0.2023466795203451E-17   0.5756539195746300E+00  -0.3673649570663972E+02
 -0.2467330214537172E+01   0.4315158329179409E-16   0.5830456364749523E+00  -0.3601034354046551E+02
 -0.2492126049464812E+01   0.0000000000000000E+00   0.5904617495410494E+00  -0.3604365338911715E+02
 -0.2517171074154785E+01   0.6844020902530901-307   0.5979023871001465E+00  -0.7063416579960026E+03
 -0.2542467792880003E+01   0.2667945859549525E-17   0.6053676782269919E+00  -0.3604352432291321E+02
 -0.2568018735080465E+01  -0.1148529827343425E-17   0.6128577527479822E+00  -0.3604362962579078E+02
 -0.2593826455616197E+01   0.2236523075926612-307   0.6203727412453108E+00  -0.7069594481207773E+03
 -0.2619893535022701E+01  -0.2926507553469070E-17   0.6279127750611260E+00  -0.3604350116400859E+02
 -0.2646222579768989E+01   0.1326825819813541E-17   0.6354779863017130E+00  -0.3673667623604939E+02
 -0.2672816222518204E+01   0.1266658115847350E-15   0.6430685078416817E+00  -0.3582039493836354E+02
 -0.2699677122390868E+01  -0.1010458004572750E-17   0.6506844733281878E+00  -0.3673672941441676E+02
 -0.2726807965230762E+01  -0.1813535413586856E-22   0.6583260171851565E+00  -0.3604365338911715E+02
 -0.2754211463873494E+01  -0.4147022303857029-307   0.6659932746175345E+00  -0.7068053229283259E+03
 -0.2781890358417746E+01  -0.1930531688019843E-15   0.6736863816155475E+00  -0.3583337503251067E+02
 -0.2809847416499271E+01   0.8506155980452277E-17   0.6814054749589857E+00  -0.3604242769574962E+02
 -0.2838085433567627E+01  -0.1198971668083797E-17   0.6891506922215038E+00  -0.3673670370935167E+02
 -0.2866607233165693E+01   0.1778704533146927E-16   0.6969221717749297E+00  -0.3494445323634450E+02
 -0.2895415667212000E+01  -0.6576871700993862E-23   0.7047200527936025E+00  -0.3673680056967710E+02
 -0.2924513616285896E+01  -0.3498894121877168-307   0.7125444752587242E+00  -0.7069501754724548E+03
 -0.2953903989915584E+01  -0.4628932168931117-307   0.7203955799627142E+00  -0.7066660982152341E+03
 -0.2983589726869031E+01   0.8811678306400900-307   0.7282735085136096E+00  -0.7060181439207812E+03
 -0.3013573795447841E+01   0.3960990852065498-307   0.7361784033394569E+00  -0.7068135204882735E+03
 -0.3043859193784036E+01   0.1247105468201356E-16   0.7441104076927342E+00  -0.3604116157470771E+02
 -0.3074448950139858E+01   0.0000000000000000E+00   0.7520696656547811E+00  -0.1200000000000000E+03
 -0.3105346123210559E+01  -0.4778187834610037E-17   0.7600563221402625E+00  -0.3604329181972414E+02
 -0.3136553802430248E+01  -0.3147202061813225E-16   0.7680705229016297E+00  -0.3777783579524099E+02
 -0.3168075108280797E+01  -0.2680684104844706-307   0.7761124145336109E+00  -0.7066692456754636E+03
 -0.3199913192603868E+01  -0.1739956290397875E-19   0.7841821444777142E+00  -0.3535050620738274E+02
 -0.3232071238916071E+01   0.4486532469080334E-18   0.7922798610267563E+00  -0.3604365028715656E+02
 -0.3264552462727278E+01  -0.1169323104079009E-22   0.8004057133293933E+00  -0.3535050620855721E+02
 -0.3297360111862152E+01  -0.1832962231958843E-15   0.8085598513946863E+00  -0.3545107290463045E+02
 -0.3330497466784894E+01  -0.9993083545837997-307   0.8167424260966658E+00  -0.7058458021822737E+03
 -0.3363967840927262E+01  -0.2230745171337760E-17   0.8249535891789239E+00  -0.3604357881498713E+02
 -0.3397774581019879E+01   0.5965222718749595E-17   0.8331934932592426E+00  -0.3604312408367677E+02
 -0.3431921067426891E+01   0.7466110211332084-307   0.8414622918341861E+00  -0.7061245389152590E+03
 -0.3466410714483952E+01   0.2973233713149529E-15   0.8497601392837771E+00  -0.3525471582237545E+02
 -0.3501246970839639E+01   0.4874751022033810E-16   0.8580871908761339E+00  -0.3737861016405815E+02
 -0.3536433319800280E+01  -0.5528557704456533E-17   0.8664436027721627E+00  -0.3604321130170401E+02
 -0.3571973279678259E+01  -0.4673422956639557E-17   0.8748295320302437E+00  -0.3604333966716755E+02
 -0.3607870404143805E+01  -0.5372212550944774-307   0.8832451366109539E+00  -0.7055559524328340E+03
 -0.3644128282580337E+01   0.3260051667559644E-17   0.8916905753817936E+00  -0.3604350285082309E+02
 -0.3680750540443359E+01  -0.3960837403494300E-15   0.9001660081219297E+00  -0.3519920340330864E+02
 -0.3717740839622981E+01   0.2584019922639473-307   0.9086715955269571E+00  -0.7065690773292994E+03
 -0.3755102878810075E+01  -0.5130491165945393E-16   0.9172074992137117E+00  -0.3735227188006835E+02
 -0.3792840393866098E+01  -0.1587404719528339E-17   0.9257738817250258E+00  -0.3673666180564079E+02
 -0.3830957158196659E+01   0.2032799800827772E-15   0.9343709065345835E+00  -0.3309765197855446E+02
 -0.3869456983128817E+01   0.5960132118076211E-15   0.9429987380517282E+00  -0.3413322398858030E+02
 -0.3908343718292179E+01   0.2034947479676504E-15   0.9516575416263400E+00  -0.3378621604784386E+02
 -0.3947621252003830E+01  -0.1913393419772409E-15   0.9603474835536838E+00  -0.3441499576732021E+02
 -0.3987293511657121E+01  -0.2695360444294847E-15   0.9690687310793258E+00  -0.3515362922229445E+02
 -0.4027364464114393E+01  -0.4769472201202353E-17   0.9778214524040036E+00  -0.3604335346978689E+02
