 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.429332071049662     ,
 FAL     =  0.999000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.428729187234464     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =       10000,
 IW      =          10
 $END
 alpha                    wr                       wi                       funk                    
 -0.4287291872344637E+00   0.2432380002861405E-17  -0.4293320710496617E+00  -0.3604336589741888E+02
 -0.4248817718759977E+00   0.1029075067486054E-16  -0.4334454582344542E+00  -0.3671654297450035E+02
 -0.4206520229402776E+00  -0.3019720224374555-306  -0.4380010009719592E+00  -0.7050077662063877E+03
 -0.4164643816618955E+00  -0.1347625215599838E-17  -0.4425462623223374E+00  -0.3673644294355412E+02
 -0.4123184288540782E+00   0.0000000000000000E+00  -0.4470812881523798E+00  -0.1200000000000000E+03
 -0.4082137495031075E+00   0.8384232939224321E-16  -0.4516061240715031E+00  -0.3622296640129782E+02
 -0.4041499327267762E+00   0.2298339051754793-307  -0.4561208154333405E+00  -0.7078155070489640E+03
 -0.4001265717332589E+00  -0.2184406892067482E-16  -0.4606254073373234E+00  -0.3664923609775050E+02
 -0.3961432637803917E+00   0.2706569409435329-307  -0.4651199446302526E+00  -0.7076553950148106E+03
 -0.3921996101353566E+00  -0.4611435442344188E-17  -0.4696044719078604E+00  -0.3911442689722845E+02
 -0.3882952160347691E+00   0.2265373215253385E-16  -0.4740790335163622E+00  -0.3664206065618617E+02
 -0.3844296906451612E+00   0.2615637869652015-307  -0.4785436735539991E+00  -0.7076947362500292E+03
 -0.3806026470238592E+00  -0.3942695405062015-307  -0.4829984358725706E+00  -0.7072861255745868E+03
 -0.3768137020802496E+00   0.2816330967060089-307  -0.4874433640789583E+00  -0.7076243124258077E+03
 -0.3730624765374325E+00   0.9562530816879853E-18  -0.4918785015366389E+00  -0.3673661142686962E+02
 -0.3693485948942543E+00   0.6580067447671315-307  -0.4963038913671901E+00  -0.7065070819821096E+03
 -0.3656716853877208E+00  -0.2766532379098474-307  -0.5007195764517840E+00  -0.7076474893024692E+03
 -0.3620313799557828E+00  -0.3153627393105581E-16  -0.5051255994326737E+00  -0.3717418654906295E+02
 -0.3584273142004928E+00   0.2773047588624284-307  -0.5095220027146699E+00  -0.7076487463256443E+03
 -0.3548591273515287E+00  -0.1748470037562048E-17  -0.5139088284666078E+00  -0.3535046580607688E+02
 -0.3513264622300800E+00   0.4368469219608956-307  -0.5182861186228049E+00  -0.7069079293626598E+03
 -0.3478289652130941E+00  -0.4240615902448769E-16  -0.5226539148845109E+00  -0.3645211223041242E+02
 -0.3443662861978784E+00   0.4821941214780723E-18  -0.5270122587213464E+00  -0.3673675076124166E+02
 -0.3409380785670543E+00  -0.2808960103697009-307  -0.5313611913727347E+00  -0.7076450680239661E+03
 -0.3375439991538610E+00   0.2035507429960385E-16  -0.5357007538493235E+00  -0.3602175717944120E+02
 -0.3341837082078036E+00   0.2617576159202086-307  -0.5400309869343971E+00  -0.7077193707620545E+03
 -0.3308568693606443E+00  -0.4837349898068174E-16  -0.5443519311852818E+00  -0.3593008491782265E+02
 -0.3275631495927315E+00   0.0000000000000000E+00  -0.5486636269347407E+00  -0.1200000000000000E+03
 -0.3243022191996636E+00  -0.2364343254301656-307  -0.5529661142923596E+00  -0.7078267853959048E+03
 -0.3210737517592864E+00  -0.4255671494782912E-16  -0.5572594331459256E+00  -0.3684860352884394E+02
 -0.3178774240990171E+00   0.2082008719907757E-17  -0.5615436231627957E+00  -0.3604341319046264E+02
