 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.1007381717343888E-01  -0.1134816609280422E-17  -0.1677435971070696E+01  -0.3535045539775552E+02
 -0.1017511162858059E-01   0.1136829760356699E-15  -0.1674898493654841E+01  -0.3499953086054096E+02
 -0.1027742462182615E-01   0.1381518879759079E-17  -0.1672358282906823E+01  -0.3512731466961607E+02
 -0.1038076639480101E-01  -0.2189962285800901E-18  -0.1669815331264479E+01  -0.3604364586857770E+02
 -0.1048514729211243E-01  -0.2281722774958281E-17  -0.1667269631134914E+01  -0.3494495059309922E+02
 -0.1059057776238494E-01  -0.1399522272997093E-17  -0.1664721174894349E+01  -0.3604334766753864E+02
 -0.1069706835930635E-01  -0.4574241172968747E-18  -0.1662169954887960E+01  -0.3563817379308054E+02
 -0.1080462974268409E-01   0.3547308238766260E-16  -0.1659615963429723E+01  -0.3492376482803856E+02
 -0.1091327267951232E-01   0.0000000000000000E+00  -0.1657059192802253E+01  -0.1200000000000000E+03
 -0.1102300804504970E-01  -0.1482575702703790E-16  -0.1654499635256645E+01  -0.3562329171076101E+02
 -0.1113384682390802E-01   0.0000000000000000E+00  -0.1651937283012312E+01  -0.1200000000000000E+03
 -0.1124580011115176E-01  -0.1392131547671468E-17  -0.1649372128256827E+01  -0.3604335481474558E+02
 -0.1135887911340873E-01   0.2295734643414661E-16  -0.1646804163145757E+01  -0.3511456113506874E+02
 -0.1147309514999185E-01  -0.9240979248097829E-18  -0.1644233379802499E+01  -0.3673627674652923E+02
 -0.1158845965403224E-01  -0.8230736902945455E-18  -0.1641659770318117E+01  -0.3604354968560557E+02
 -0.1170498417362367E-01  -0.4420976045107954-307  -0.1639083326751178E+01  -0.7063708084266962E+03
 -0.1182268037297853E-01   0.3199822624470483E-16  -0.1636504041127580E+01  -0.3633166948208165E+02
 -0.1194156003359545E-01  -0.1703768694119345E-17  -0.1633921905440392E+01  -0.3604321210795196E+02
 -0.1206163505543865E-01  -0.4903384887903296E-18  -0.1631336911649679E+01  -0.3673665465040381E+02
 -0.1218291745812907E-01   0.8324251866572556E-16  -0.1628749051682336E+01  -0.3547821603736386E+02
 -0.1230541938214764E-01  -0.5241884853741013E-16  -0.1626158317431916E+01  -0.3525620590683994E+02
 -0.1242915309005047E-01  -0.4144088679119185E-18  -0.1623564700758458E+01  -0.3673669703111637E+02
 -0.1255413096769640E-01  -0.2628907739550912E-17  -0.1620968193488318E+01  -0.3535024640891787E+02
 -0.1268036552548680E-01  -0.3460995378640747-307  -0.1618368787413990E+01  -0.7066343619489720E+03
 -0.1280786939961789E-01   0.3771956032789913E-17  -0.1615766474293936E+01  -0.3534997390294357E+02
 -0.1293665535334565E-01  -0.3246982061765103E-17  -0.1613161245852408E+01  -0.3512711070631069E+02
 -0.1306673627826340E-01   0.2256867609884455E-15  -0.1610553093779272E+01  -0.3401832707307769E+02
 -0.1319812519559226E-01   0.6156804727711257E-16  -0.1607942009729830E+01  -0.3504443279550371E+02
 -0.1333083525748463E-01  -0.1905789487355328E-18  -0.1605327985324641E+01  -0.3673677901130661E+02
 -0.1346487974834070E-01   0.7805044261651907E-18  -0.1602711012149342E+01  -0.3604356320150134E+02
 -0.1360027208613822E-01   0.1027350652475144E-17  -0.1600091081754466E+01  -0.3604349749733697E+02
 -0.1373702582377569E-01   0.6250195273012480E-16  -0.1597468185655261E+01  -0.3566055644226480E+02
 -0.1387515465042899E-01   0.9567156575668825E-16  -0.1594842315331505E+01  -0.3539056463840051E+02
 -0.1401467239292166E-01  -0.1218869385235443E-17  -0.1592213462227326E+01  -0.3494501688128598E+02
 -0.1415559301710903E-01   0.1147890922937694E-17  -0.1589581617751011E+01  -0.3604346053600961E+02
 -0.1429793062927618E-01  -0.2628322375318419E-17  -0.1586946773274824E+01  -0.3535025403095273E+02
 -0.1444169947755001E-01   0.4970081535794455E-18  -0.1584308920134816E+01  -0.3673665660659336E+02
 -0.1458691395332546E-01   0.5428078472188378E-18  -0.1581668049630637E+01  -0.3563816924244266E+02
 -0.1473358859270614E-01  -0.3674170236108127-307  -0.1579024153025348E+01  -0.7065988654707477E+03
 -0.1488173807795938E-01  -0.2701492428265835E-17  -0.1576377221545228E+01  -0.3535024222751903E+02
 -0.1503137723898595E-01   0.1962416623361849E-18  -0.1573727246379582E+01  -0.3604364782852819E+02
 -0.1518252105480454E-01  -0.1825051701383890E-16  -0.1571074218680547E+01  -0.3533865201770647E+02
 -0.1533518465505121E-01   0.9371818769922792E-16  -0.1568418129562901E+01  -0.3495771533425356E+02
 -0.1548938332149381E-01   0.4079515745578349-307  -0.1565758970103865E+01  -0.7064980476304302E+03
 -0.1564513248956176E-01   0.4632782786233337E-16  -0.1563096731342904E+01  -0.3491203788329081E+02
 -0.1580244774989112E-01  -0.1567454600858225E-17  -0.1560431404281537E+01  -0.3535041854666490E+02
 -0.1596134484988525E-01  -0.3274879517330991-307  -0.1557762979883126E+01  -0.7067201026392042E+03
 -0.1612183969529111E-01   0.3084146661618604E-17  -0.1555091449072687E+01  -0.3535016848512225E+02
 -0.1628394835179146E-01  -0.6499780967221577E-18  -0.1552416802736681E+01  -0.3535049123877342E+02
 -0.1644768704661307E-01   0.1340834218285805E-15  -0.1549739031722816E+01  -0.3472111533568203E+02
 -0.1661307217015102E-01   0.3089734508299195E-18  -0.1547058126839840E+01  -0.3604363992154919E+02
 -0.1678012027760945E-01   0.1411112016456003E-15  -0.1544374078857337E+01  -0.3450718759464915E+02
 -0.1694884809065874E-01  -0.2337099681908980E-17  -0.1541686878505520E+01  -0.3494495589084153E+02
 -0.1711927249910934E-01  -0.8807416105077088E-18  -0.1538996516475024E+01  -0.3604354473625058E+02
 -0.1729141056260248E-01  -0.4874801817628730E-18  -0.1536302983416697E+01  -0.3604362017927789E+02
 -0.1746527951231783E-01  -0.5278664312946751E-18  -0.1533606269941389E+01  -0.3604361454076665E+02
 -0.1764089675269841E-01  -0.2364563533743005-307  -0.1530906366619743E+01  -0.7071440583532948E+03
 -0.1781827986319272E-01  -0.6374817886545977E-17  -0.1528203263981978E+01  -0.3494441491185951E+02
 -0.1799744660001453E-01   0.5654659091107753E-16  -0.1525496952517677E+01  -0.3525053698593042E+02
 -0.1817841489792022E-01  -0.4358205310130928E-18  -0.1522787422675576E+01  -0.3604362715760024E+02
 -0.1836120287200414E-01   0.1361143363566211E-17  -0.1520074664863339E+01  -0.3604339818878390E+02
 -0.1854582881951188E-01   0.3155453865644099E-17  -0.1517358669447346E+01  -0.3512714373194056E+02
 -0.1873231122167190E-01  -0.5520678825004224E-17  -0.1514639426752473E+01  -0.3465709789596408E+02
 -0.1892066874554548E-01  -0.9418522723314944E-16  -0.1511916927061868E+01  -0.3511340218982885E+02
 -0.1911092024589532E-01   0.3293232667966794E-17  -0.1509191160616735E+01  -0.3535013633816345E+02
 -0.1930308476707292E-01   0.4948956714933938E-18  -0.1506462117616105E+01  -0.3604362004695256E+02
 -0.1949718154492493E-01  -0.5886290665571543E-16  -0.1503729788216613E+01  -0.3505722946103306E+02
 -0.1969323000871871E-01   0.3762846142365198E-17  -0.1500994162532273E+01  -0.3494482800000673E+02
 -0.1989124978308716E-01  -0.2226489662614577E-17  -0.1498255230634252E+01  -0.3604298383301646E+02
