 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.1009898496708676E+01   0.2334613887973119-307   0.5459900540914454E-02           200             3  -0.70304400E+03
 -0.1010000000000000E+01  -0.1511050626349737E-19   0.5515689316165199E-02           200             3  -0.36601021E+02
 -0.1010100503341742E+01   0.5688832971031484E-20   0.5570924531238855E-02           200             3  -0.36601274E+02
 -0.1020201508375159E+01   0.1181297594644153E-19   0.1110230375406636E-01           200             3  -0.36599046E+02
 -0.1030403523458911E+01   0.1605522681040511E-19   0.1664929357199298E-01           200             3  -0.36596826E+02
 -0.1040707558693500E+01  -0.2582773440383122-307   0.2221197007897087E-01           200             3  -0.70433134E+03
 -0.1051114634280435E+01  -0.3464329318348327-307   0.2779040980828658E-01           200             3  -0.70425681E+03
 -0.1061625780623239E+01  -0.1797375389727706E-18   0.3338468973517450E-01           200             3  -0.35896655E+02
 -0.1072242038429471E+01  -0.3478799593606065-307   0.3899488727944452E-01           200             3  -0.70458147E+03
 -0.1082964458813766E+01  -0.4800139433219060E-17   0.4462108030812320E-01           200             3  -0.35763510E+02
 -0.1093794103401904E+01   0.2005829194650379E-17   0.5026334713810884E-01           200             3  -0.36506548E+02
 -0.1104732044435923E+01   0.0000000000000000E+00   0.5592176653884100E-01           200             3  -0.12000000E+03
 -0.1115779364880282E+01   0.0000000000000000E+00   0.6159641773498349E-01           200             3  -0.12000000E+03
 -0.1126937158529085E+01   0.3539463287434957E-18   0.6728738040912163E-01           200             3  -0.35883042E+02
 -0.1138206530114376E+01   0.1867367986570995E-18   0.7299473470447385E-01           200             3  -0.35881055E+02
 -0.1149588595415520E+01   0.1085542585709238E-18   0.7871856122761664E-01           200             3  -0.36571898E+02
 -0.1161084481369675E+01   0.6527845387188094E-17   0.8445894105122441E-01           200             3  -0.36730838E+02
 -0.1172695326183372E+01  -0.6360394165530767E-19   0.9021595571682353E-01           200             3  -0.36567390E+02
 -0.1184422279445206E+01   0.9016031585923545E-19   0.9598968723756016E-01           200             3  -0.36565062E+02
 -0.1196266502239657E+01  -0.9991671843000179E-19   0.1017802181009825E+00           200             3  -0.36562747E+02
 -0.1208229167262054E+01  -0.5659157770575223E-18   0.1075876312718377E+00           200             3  -0.35461678E+02
 -0.1220311458934675E+01   0.2354987008116575E-18   0.1134120101948831E+00           200             3  -0.36557880E+02
 -0.1232514573524021E+01   0.2322410126123430E-18   0.1192534387977111E+00           200             3  -0.36555585E+02
 -0.1244839719259262E+01  -0.2860678304446472E-17   0.1251120014935893E+00           200             3  -0.35851008E+02
 -0.1257288116451854E+01   0.1022953977488035E-18   0.1309877831843154E+00           200             3  -0.36551141E+02
 -0.1269860997616373E+01  -0.1700456232782381E-18   0.1368808692630853E+00           200             3  -0.36548727E+02
 -0.1282559607592537E+01   0.2451885771938769E-18   0.1427913456173773E+00           200             3  -0.35447860E+02
 -0.1295385203668462E+01   0.1073286303644854E-16   0.1487192986318497E+00           200             3  -0.36240984E+02
 -0.1308339055705146E+01   0.2652126821958076E-16   0.1546648151912534E+00           200             3  -0.35660523E+02
 -0.1321422446262198E+01  -0.1627837026043212E-18   0.1606279826833601E+00           200             3  -0.36539338E+02
 -0.1334636670724820E+01   0.2320749884625234-307   0.1666088890019030E+00           200             3  -0.70632650E+03
 -0.1347983037432068E+01   0.9289539299668091E-18   0.1726076225495352E+00           200             3  -0.35435783E+02
 -0.1361462867806389E+01   0.1347240054102997E-16   0.1786242722408000E+00           200             3  -0.35724248E+02
 -0.1375077496484453E+01   0.2824569968374433-307   0.1846589275051183E+00           200             3  -0.70621719E+03
 -0.1388828271449297E+01  -0.4847833963373911E-19   0.1907116782897890E+00           200             3  -0.36527517E+02
 -0.1402716554163790E+01   0.9976752350032325E-19   0.1967826150630062E+00           200             3  -0.36525101E+02
 -0.1416743719705428E+01   0.2915230191954597-307   0.2028718288168894E+00           200             3  -0.70626386E+03
 -0.1430911156902482E+01  -0.6707318572141770E-18   0.2089794110705297E+00           200             3  -0.35421584E+02
 -0.1445220268471507E+01  -0.1574778806651858E-18   0.2151054538730515E+00           200             3  -0.36517843E+02
 -0.1459672471156222E+01  -0.5924473691743605E-24   0.2212500498066879E+00           200             3  -0.36515480E+02
 -0.1474269195867784E+01   0.9640778875464717E-18   0.2274132919898720E+00           200             3  -0.35819408E+02
 -0.1489011887826462E+01   0.9497205212506285E-17   0.2335952740803436E+00           200             3  -0.36350514E+02
 -0.1503902006704727E+01   0.4975840930644746E-18   0.2397960902782695E+00           200             3  -0.36507682E+02
 -0.1518941026771774E+01   0.4247994897044627E-18   0.2460158353293813E+00           200             3  -0.35812506E+02
 -0.1534130437039492E+01  -0.2963313699236304E-18   0.2522546045281262E+00           200             3  -0.36503125E+02
 -0.1549471741409887E+01   0.1976572973190221E-18   0.2585124937208342E+00           200             3  -0.36500766E+02
 -0.1564966458823986E+01  -0.4308392944669820E-18   0.2647895993089006E+00           200             3  -0.36498037E+02
 -0.1580616123412226E+01  -0.8501357825616435E-17   0.2710860182519828E+00           200             3  -0.36379693E+02
 -0.1596422284646348E+01  -0.1493882243123141E-16   0.2774018480712140E+00           200             3  -0.35352680E+02
 -0.1612386507492812E+01   0.4007525119839046E-18   0.2837371868524305E+00           200             3  -0.36490685E+02
 -0.1628510372567740E+01  -0.6796512605640231E-17   0.2900921332494157E+00           200             3  -0.35381184E+02
 -0.1644795476293417E+01  -0.7330535122467543E-18   0.2964667864871591E+00           200             3  -0.34876518E+02
