 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.1010000000000000E+01  -0.1511050626349737E-19   0.5515689316165199E-02           200             3  -0.36601021E+02
 -0.1009898496708676E+01   0.2334613887973119-307   0.5459900540914454E-02           200             3  -0.70304400E+03
 -0.9997995117415892E+00  -0.4570282529661886E-21  -0.1109870885212369E-03           200             3  -0.36602898E+02
 -0.9898015166241733E+00   0.1152444691170521E-19  -0.5666104994574572E-02           200             3  -0.36605669E+02
 -0.9799035014579315E+00  -0.4267892877911702-300  -0.1120553023094784E-01           200             3  -0.68701949E+03
 -0.9701044664433521E+00   0.9303316235528708E-19  -0.1672933940492378E-01           200             3  -0.35916844E+02
 -0.9604034217789186E+00   0.2723816995234395-307  -0.2223760868004048E-01           200             3  -0.70431878E+03
 -0.9507993875611294E+00   0.3718529036587655E-19  -0.2773041377875195E-01           200             3  -0.36614655E+02
 -0.9412913936855181E+00  -0.3419401316670321-307  -0.3320782998507416E-01           200             3  -0.70450211E+03
 -0.9318784797486629E+00   0.2955465856899276-133  -0.3866993214721706E-01           200             3  -0.30416792E+03
 -0.9225596949511763E+00  -0.8273523326810687E-17  -0.4411679468020212E-01           200             3  -0.35693779E+02
 -0.9133340980016645E+00  -0.3002467123507735-307  -0.4954849156846565E-01           200             3  -0.70504687E+03
 -0.9042007570216479E+00   0.4602812152981362E-19  -0.5496509636844807E-01           200             3  -0.36625685E+02
 -0.8951587494514315E+00   0.3226582534984498E-19  -0.6036668221116895E-01           200             3  -0.36627881E+02
 -0.8862071619569172E+00   0.7487638867251631E-18  -0.6575332180478809E-01           200             3  -0.39045628E+02
 -0.8773450903373480E+00   0.5039777839398183E-19  -0.7112508743715254E-01           200             3  -0.36632222E+02
 -0.8685716394339745E+00  -0.7278470208135301E-17  -0.7648205097832932E-01           200             3  -0.36951942E+02
 -0.8598859230396347E+00   0.3045399963161177E-18  -0.8182428388312504E-01           200             3  -0.36636170E+02
 -0.8512870638092384E+00   0.2554200725556007-307  -0.8715185719359064E-01           200             3  -0.70580686E+03
