 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.515786271031614     ,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.343451209373083     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =  -0.515786271031614     
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.3434512093730835E+00  -0.4815265875450442-119  -0.5157862710316121E+00           200             8  -0.27631165E+03
 -0.3434166931075779E+00  -0.7305124681939561E-17  -0.5158287307906100E+00           200             8  -0.36047638E+02
 -0.3399825261765022E+00   0.4972505806545072-119  -0.5200698540705684E+00           200             8  -0.27631512E+03
 -0.3365827009147371E+00  -0.5149869094150226-119  -0.5243013963133076E+00           200             8  -0.27631521E+03
 -0.3332168739055897E+00   0.5331215397201091-119  -0.5285233993009095E+00           200             8  -0.27631561E+03
 -0.3298847051665338E+00   0.3328976551691846E-15  -0.5327359045841165E+00           200             8  -0.36016135E+02
 -0.3265858581148685E+00  -0.6340182773216250E-16  -0.5369389534838076E+00           200             8  -0.35359507E+02
 -0.3233199995337198E+00  -0.5916898262377224-119  -0.5411325870923531E+00           200             8  -0.27631571E+03
 -0.3200867995383826E+00  -0.1254389464090325E-15  -0.5453168462750841E+00           200             9  -0.36040617E+02
 -0.3168859315429988E+00  -0.6868260740246608-119  -0.5494917716716159E+00           200             9  -0.27630854E+03
 -0.3137170722275688E+00   0.2661480310778349E-15  -0.5536574036973028E+00           200             9  -0.36032154E+02
 -0.3105799015052931E+00   0.7370287204086328-119  -0.5578137825445719E+00           200             9  -0.27631058E+03
 -0.3074741024902402E+00  -0.7629871745682622-119  -0.5619609481843071E+00           200             9  -0.27631209E+03
 -0.3043993614653377E+00  -0.1503051975624737E-15  -0.5660989403672194E+00           200             9  -0.36045507E+02
 -0.3013553678506843E+00   0.4402257706427200E-15  -0.5702277986251887E+00           200             9  -0.34948280E+02
 -0.2983418141721775E+00   0.8455729267299322-119  -0.5743475622726180E+00           200             9  -0.27631701E+03
 -0.2953583960304557E+00   0.8749440131765306-119  -0.5784582704077350E+00           200             9  -0.27631855E+03
 -0.2924048120701512E+00   0.9078853224684638-119  -0.5825599619139863E+00           200             9  -0.27631716E+03
 -0.2894807639494497E+00   0.9375379953426715-119  -0.5866526754612913E+00           200             9  -0.27632049E+03
 -0.2865859563099551E+00  -0.1048370494302273-118  -0.5907364495073850E+00           200            10  -0.27630907E+03
 -0.2837200967468556E+00   0.1087064065696732-118  -0.5948113222991149E+00           200            10  -0.27630997E+03
 -0.2808828957793871E+00  -0.1125616333778689-118  -0.5988773318737546E+00           200            10  -0.27631215E+03
 -0.2780740668215932E+00   0.1167596309057240-118  -0.6029345160602246E+00           200            10  -0.27631247E+03
 -0.2752933261533773E+00  -0.1208619379311389-118  -0.6069829124804673E+00           200            10  -0.27631476E+03
 -0.2725403928918435E+00   0.1255402848100150-118  -0.6110225585506415E+00           200            10  -0.27631351E+03
 -0.2698149889629251E+00  -0.3812041220863614E-16  -0.6150534914824199E+00           200            10  -0.36049930E+02
 -0.2671168390732958E+00   0.1348707049593963-118  -0.6190757482842095E+00           200            10  -0.27631496E+03
 -0.2644456706825629E+00  -0.1394914309472642-118  -0.6230893657624581E+00           200            10  -0.27631769E+03
 -0.2618012139757372E+00  -0.1447749571175240-118  -0.6270943805228433E+00           200            10  -0.27631684E+03
 -0.2591832018359799E+00  -0.1498295375179273-118  -0.6310908289715078E+00           200            10  -0.27631875E+03
 -0.2565913698176201E+00  -0.1926036004672457E-14  -0.6350787473163061E+00           200            11  -0.35923853E+02
 -0.2540254561194439E+00  -0.1726879076040714-118  -0.6390581715679642E+00           200            11  -0.27630994E+03
 -0.2514852015582494E+00   0.1790621796717056-118  -0.6430291375413910E+00           200            11  -0.27631138E+03
 -0.2489703495426669E+00  -0.1860260383963186-118  -0.6469916808567779E+00           200            11  -0.27631081E+03
 -0.2464806460472403E+00  -0.4063260403844176E-14  -0.6509458369408354E+00           200            11  -0.35725784E+02
 -0.2440158395867679E+00   0.3297980416230913E-15  -0.6548916410279428E+00           200            11  -0.35354816E+02
 -0.2415756811909002E+00   0.9155332204602372E-15  -0.6588291281614005E+00           200            11  -0.36030047E+02
