 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
1061
 -0.7925366886208146E-02  -0.4884677495203234E-07  -0.1671628763167289E+01           292            32  -0.25630485E+02
 -0.8005421097179947E-02  -0.2185380682628498E-07  -0.1669378348820081E+01           292            32  -0.26100338E+02
 -0.8086283936545402E-02  -0.4689192557853298E-08  -0.1667105213115831E+01           292            32  -0.26752041E+02
 -0.8167963572268082E-02   0.2547791551673552E-08  -0.1664809126545882E+01           292            32  -0.27809599E+02
 -0.8250468254816245E-02  -0.2431335902185364E-09  -0.1662489857283306E+01           292            32  -0.39125949E+02
 -0.8333806317996207E-02  -0.5537730670761924E-09  -0.1660147179995063E+01           292            32  -0.38264030E+02
 -0.8417986179794149E-02   0.7566585420014837E-09  -0.1657801848900192E+01           292            32  -0.37913059E+02
 -0.8503016343226413E-02  -0.1666165332811804E-07  -0.1655433006831424E+01           292            32  -0.27649973E+02
 -0.8588905397198397E-02  -0.2919135112663707E-08  -0.1653103188853884E+01           292            32  -0.36485185E+02
 -0.8675662017372118E-02   0.8611863170881885E-09  -0.1650749847462430E+01           292            32  -0.37666988E+02
 -0.8763294967042545E-02  -0.5201085919548466E-08  -0.1648393851265653E+01           292            32  -0.35829709E+02
 -0.8851813098022772E-02  -0.9954164511015692E-08  -0.1646014212845817E+01           292            32  -0.27490618E+02
 -0.8941225351538153E-02   0.2316748766914523E-10  -0.1643673749609861E+01           292            32  -0.41165530E+02
 -0.9031540759129448E-02   0.2705166437278237E-12  -0.1641309655432128E+01           292            32  -0.45576617E+02
 -0.9122768443565099E-02  -0.3245488165796094E-08  -0.1638942844830100E+01           292            32  -0.36145051E+02
 -0.9214917619762727E-02  -0.1651288896472315E-08  -0.1636573328418362E+01           292            31  -0.36759715E+02
 -0.9307997595719927E-02  -0.7055762576918364E-09  -0.1634201070859689E+01           292            31  -0.37571409E+02
 -0.9402017773454471E-02   0.3310746106712548E-08  -0.1631826089253808E+01           292            31  -0.35986855E+02
 -0.9496987649954011E-02   0.1475453065963770E-10  -0.1629448374223705E+01           292            31  -0.41361554E+02
 -0.9592916818135365E-02   0.3903213852086736E-08  -0.1627067899142129E+01           292            31  -0.35744830E+02
 -0.9689814967813499E-02  -0.8327562587559461E-09  -0.1624684679202644E+01           292            31  -0.37250887E+02
 -0.9787691886680302E-02   0.6525406109353594E-11  -0.1622298697954421E+01           292            31  -0.42061128E+02
 -0.9886557461293233E-02  -0.1263681273629825E-10  -0.1619909947811460E+01           292            31  -0.41361382E+02
 -0.9986421678073973E-02  -0.1653938084917936E-08  -0.1617518413684835E+01           292            31  -0.36448206E+02
 -0.1008729462431714E-01   0.1252337141531497E-08  -0.1615124090528842E+01           292            31  -0.36687439E+02
 -0.1018918648920924E-01  -0.6649569397432619E-09  -0.1612726984557050E+01           292            31  -0.37281529E+02
 -0.1029210756485781E-01   0.1175458642530653E-11  -0.1610327079577511E+01           292            31  -0.43580599E+02
 -0.1039606824733112E-01   0.2027900454560927E-10  -0.1607924359563583E+01           292            31  -0.40693638E+02
 -0.1050107903770821E-01   0.9175742084091611-113  -0.1605518826941364E+01           292            31  -0.27631127E+03
 -0.1060715054313960E-01  -0.1449090465747109E-08  -0.1603110467753074E+01           292            31  -0.36346345E+02
 -0.1071429347791879E-01   0.7437256713538064E-09  -0.1600699271400045E+01           292            31  -0.36974210E+02
 -0.1082251866456443E-01   0.6048269261796217E-10  -0.1598285241916517E+01           292            31  -0.39444331E+02
 -0.1093183703491357E-01   0.5095974644243009E-10  -0.1595868366254957E+01           292            31  -0.39576418E+02
 -0.1104225963122583E-01   0.1924423631565508E-08  -0.1593448634077061E+01           292            31  -0.35905797E+02
 -0.1115379760729882E-01  -0.1593681277096728E-09  -0.1591026034097629E+01           292            31  -0.38357646E+02
 -0.1126646222959476E-01  -0.1378779224247617E-10  -0.1588600559669969E+01           292            31  -0.40765722E+02
 -0.1138026487837855E-01   0.2399384500102257E-08  -0.1586172211645654E+01           292            30  -0.35545004E+02
 -0.1149521704886722E-01  -0.2081483076448658E-09  -0.1583740973512013E+01           292            30  -0.37950906E+02
 -0.1161133035239113E-01   0.3237156649479751E-09  -0.1581306839786348E+01           292            30  -0.37470438E+02
 -0.1172861651756680E-01  -0.1987655539573529E-09  -0.1578869796758756E+01           292            30  -0.37919282E+02
 -0.1184708739148162E-01   0.1482925195310786E-11  -0.1576429845100381E+01           292            30  -0.42778456E+02
 -0.1196675494089052E-01   0.2542397719244791E-11  -0.1573986972257862E+01           292            30  -0.34949501E+02
 -0.1208763125342477E-01   0.5194890643559097-113  -0.1571541170093441E+01           292            30  -0.27631048E+03
 -0.1220972853881290E-01  -0.1275505896016963E-09  -0.1569092430673791E+01           292            30  -0.38206909E+02
 -0.1233305913011404E-01  -0.9324269281115622E-09  -0.1566640744134490E+01           292            30  -0.36178533E+02
 -0.1245763548496368E-01  -0.4484242214974284E-09  -0.1564186103654852E+01           292            30  -0.36871444E+02
 -0.1258347018683200E-01  -0.3877473473685132E-09  -0.1561728501498359E+01           292            30  -0.36977648E+02
 -0.1271057594629495E-01  -0.2748230701680041E-10  -0.1559267927311880E+01           292            30  -0.39585237E+02
 -0.1283896560231813E-01   0.3699820993564420E-11  -0.1556804375340747E+01           292            30  -0.41551230E+02
 -0.1296865212355367E-01  -0.3946728211405320-113  -0.1554337833120011E+01           292            30  -0.27631100E+03
 -0.1309964860965017E-01  -0.2568553863944494E-09  -0.1551868292357921E+01           292            30  -0.37232347E+02
 -0.1323196829257593E-01   0.1532375528530156E-11  -0.1549395749279449E+01           292            30  -0.42314651E+02
 -0.1336562453795548E-01  -0.4996636126679326E-09  -0.1546920191472397E+01           292            30  -0.36488103E+02
 -0.1350063084641968E-01  -0.9713847535589970E-10  -0.1544441609178452E+01           292            30  -0.38086426E+02
 -0.1363700085496937E-01   0.1328563577714028E-09  -0.1541959998688864E+01           292            30  -0.37733778E+02
 -0.1377474833835290E-01   0.4711938687386073E-10  -0.1539475346765115E+01           292            29  -0.38707430E+02
 -0.1391388721045748E-01  -0.1543299720676996E-09  -0.1536987645415312E+01           292            29  -0.37482069E+02
 -0.1405443152571462E-01   0.1417694219488059E-10  -0.1534496887406782E+01           292            29  -0.39830552E+02
 -0.1419639548051982E-01  -0.5565300222428404E-09  -0.1532003062934862E+01           292            29  -0.36121412E+02
 -0.1433979341466649E-01  -0.8981550557906976E-10  -0.1529506160547210E+01           292            29  -0.37906297E+02
 -0.1448463981279443E-01   0.9133301851716089E-10  -0.1527006175558498E+01           292            29  -0.37850422E+02
 -0.1463094930585296E-01  -0.1352668702987104E-08  -0.1524503098748464E+01           292            29  -0.35115937E+02
 -0.1477873667257875E-01  -0.3111498530559196E-09  -0.1521996916325698E+01           292            29  -0.36546292E+02
 -0.1492801684098864E-01   0.1000378237508309E-08  -0.1519487622598676E+01           292            29  -0.35339185E+02
 -0.1507880488988751E-01  -0.6675547905149155E-10  -0.1516975211316273E+01           292            29  -0.38006992E+02
 -0.1523111605039142E-01   0.3338777944271104E-10  -0.1514459668315946E+01           292            29  -0.38660504E+02
 -0.1538496570746609E-01   0.5472142020588960E-09  -0.1511940988935306E+01           292            29  -0.35824477E+02
 -0.1554036940148090E-01  -0.3646389175343955E-10  -0.1509419158020560E+01           292            29  -0.38493575E+02
 -0.1569734282977868E-01  -0.2621476236737437E-09  -0.1506894172165919E+01           292            29  -0.36481526E+02
 -0.1585590184826130E-01  -0.1755426250909976-113  -0.1504366019912528E+01           292            29  -0.27631189E+03
 -0.1601606247299121E-01  -0.9087987907640928E-09  -0.1501834692359504E+01           292            29  -0.35159253E+02
 -0.1617784088180930E-01   0.9694033029297012E-10  -0.1499300176565257E+01           292            29  -0.37357687E+02
 -0.1634125341596899E-01  -0.1561579333122555-113  -0.1496762468491633E+01           292            29  -0.27631013E+03
 -0.1650631658178686E-01   0.3635431125195107E-09  -0.1494221555702545E+01           292            29  -0.35956564E+02
 -0.1667304705230996E-01  -0.1443444944897216-113  -0.1491677430642750E+01           292            29  -0.27630938E+03
 -0.1684146166899996E-01   0.9741952957693996E-11  -0.1489130082293165E+01           292            28  -0.34663670E+02
 -0.1701157744343430E-01  -0.5201701342198812E-11  -0.1486579499590763E+01           292            28  -0.40061152E+02
 -0.1718341155902455E-01  -0.1193080245550753E-10  -0.1484025675903039E+01           292            28  -0.39191834E+02
 -0.1735698137275207E-01  -0.1749621911693556E-09  -0.1481468600815005E+01           292            28  -0.36467163E+02
 -0.1753230441692128E-01   0.7197610093929563E-10  -0.1478908265029380E+01           292            28  -0.37316130E+02
 -0.1770939840093059E-01  -0.6176832192413095E-10  -0.1476344656483435E+01           292            28  -0.37429761E+02
