 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.000000000000000E+000,
 NU      =  0.100000000000000     ,
 FNU     =  0.500100000000000     ,
 DLR     =  1.000000000000000E-004,
 DLI     =  1.000000000000000E-004,
 ALPHA   = -0.990000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+120,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 INUMAX  =       10000
 $END
 wr =   0.000000000000000E+000
 wi =  -5.698884682300605E-003
 nu                       wr                       wi                       nmax          nmin          funk           
 Landau mode (nu = 0.)     0.                      -0.5662521819357232E-02
212
  0.1000000000000000E-04  -0.5556083707438927E-18  -0.5662500472567921E-02         51200             3  -0.33045962E+02
  0.1000000000000000E-03   0.5579977074289709E-20  -0.5662308350166800E-02         12800             3  -0.35963869E+02
  0.3911722032343969E-02  -0.1549190450730434E-19  -0.5654169350483084E-02          1112             3  -0.36652875E+02
  0.7821879688750187E-02  -0.1502085102638940E-19  -0.5645815824032925E-02           556             3  -0.36648889E+02
  0.1564063125125012E-01  -0.2665221137522100E-19  -0.5629098970568789E-02           556             3  -0.35542428E+02
  0.2501000100000000E-01  -0.3397041074706369E-18  -0.5609043860626676E-02           400             3  -0.37284972E+02
  0.3127500750100005E-01   0.6111233281251602E-18  -0.5595619747533457E-02           278             3  -0.36303791E+02
  0.5001000000000000E-01  -0.4047190546721774-307  -0.5555410275461850E-02           200             3  -0.70252093E+03
  0.6253750750049999E-01   0.5488253874493408E-20  -0.5528469114877269E-02           139             3  -0.36592798E+02
  0.1000000000000000E+00   0.1232917712718659E-18  -0.5447650560085143E-02           100             3  -0.36529373E+02
  0.1250500050000000E+00  -0.3798683194946742E-20  -0.5393405234744521E-02           139             3  -0.36527857E+02
  0.2500500000000000E+00   0.7956308579997881E-20  -0.5120582351783611E-02           139             3  -0.36396925E+02
  0.5000000000000000E+00  -0.3319858599647589E-18  -0.4570648761403694E-02           139             3  -0.35194673E+02
  0.1000000000000000E+01   0.0000000000000000E+00  -0.3551980658401489E-02            50             3  -0.12000000E+03
  0.1010100000000000E+01  -0.1138607527312366E-20  -0.3533694486749864E-02            50             3  -0.35001571E+02
  0.1020302010000000E+01   0.4373690340457734E-21  -0.3515335023327951E-02            50             3  -0.36380049E+02
  0.1030607060301000E+01   0.3997446858300899E-20  -0.3496904237567121E-02            50             3  -0.33807384E+02
  0.1041016191610040E+01   0.3010038064658251E-18  -0.3478404137153470E-02            50             3  -0.33807562E+02
  0.1051530455145302E+01   0.7074484432381687E-20  -0.3459836766834233E-02            50             3  -0.33466260E+02
  0.1062150912742269E+01   0.2377133678286961E-20  -0.3441204207175304E-02            50             3  -0.34269364E+02
  0.1072878636960966E+01  -0.1274550741027865E-18  -0.3422508573271965E-02            50             3  -0.33575940E+02
  0.1083714711194272E+01   0.2475720199599383E-27  -0.3403752013414948E-02            50             3  -0.36333034E+02
  0.1094660229777334E+01  -0.2530352807155454E-20  -0.3384936707714107E-02            50             3  -0.34938401E+02
  0.1105716298098085E+01  -0.1079705383246657E-20  -0.3366064866682044E-02            50             3  -0.35623636E+02
  0.1116884032708876E+01   0.1069754020178716E-20  -0.3347138729780152E-02            50             3  -0.35210295E+02
  0.1128164561439235E+01  -0.3348690397209618E-21  -0.3328160563929594E-02            50             3  -0.35202352E+02
  0.1139559023509771E+01  -0.4861534460799309E-26  -0.3309132661989813E-02            50             3  -0.32997051E+02
  0.1151068569647220E+01   0.1052818275924613E-21  -0.3290057341207254E-02            50             3  -0.36284755E+02
  0.1162694362200657E+01   0.3415977284137811E-20  -0.3270936941637007E-02            50             3  -0.34079212E+02
  0.1174437575258884E+01  -0.6469877769532465E-20  -0.3251773824540122E-02            50             3  -0.33377896E+02
  0.1186299394768998E+01   0.7735547099552424E-20  -0.3232570370759446E-02            50             3  -0.33487315E+02
  0.1198281018656165E+01  -0.8663431659073450E-21  -0.3213328979076750E-02            50             3  -0.35153261E+02
  0.1210383656944592E+01   0.3804630975232501-307  -0.3194052064554055E-02            50             3  -0.69862868E+03
  0.1222608531879733E+01  -0.3098287111091049E-20  -0.3174742056861989E-02            50             3  -0.33099918E+02
  0.1234956878051718E+01   0.5358148448249348E-20  -0.3155401398598049E-02            50             3  -0.33587809E+02
  0.1247429942520041E+01  -0.2020749688589210E-20  -0.3136032543597620E-02            50             3  -0.34021459E+02
  0.1260028984939493E+01  -0.2580767755503954E-20  -0.3116637955240610E-02            50             3  -0.34013017E+02
  0.1272755277687382E+01  -0.4973462951814351E-20  -0.3097220104756502E-02            50             3  -0.33898905E+02
  0.1285610105992024E+01   0.4076169955257114E-20  -0.3077781469530629E-02            50             3  -0.33485365E+02
  0.1298594768062544E+01  -0.2750390931762672E-18  -0.3058324531414405E-02            50             3  -0.33006641E+02
  0.1311710575219976E+01   0.7947126087574577E-21  -0.3038851775042242E-02            50             3  -0.35077862E+02
  0.1324958852029697E+01  -0.3967793914675266E-19  -0.3019365686157776E-02            50             3  -0.32638249E+02
  0.1338340936435197E+01   0.3288179781589649E-20  -0.2999868749952014E-02            50             3  -0.33163809E+02
  0.1351858179893193E+01  -0.7044245332822851E-19  -0.2980363449415907E-02            50             3  -0.33800724E+02
  0.1365511947510114E+01   0.7645931627954627E-20  -0.2960852263709833E-02            50             3  -0.32923320E+02
  0.1379303618179966E+01  -0.2061291006094293E-20  -0.2941337666552323E-02            50             3  -0.32838029E+02
  0.1393234584723584E+01  -0.4200419636364456E-20  -0.2921822124630352E-02            50             3  -0.33034090E+02
  0.1407306254029292E+01   0.1412651816937577E-20  -0.2902308096033392E-02            50             3  -0.33120860E+02
  0.1421520047194988E+01  -0.6156815210865062E-21  -0.2882798028713328E-02            50             3  -0.33399882E+02
  0.1435877399671657E+01   0.1943608777661314E-20  -0.2863294358972260E-02            50             3  -0.33701219E+02
  0.1450379761408341E+01   0.1904990172979048E-21  -0.2843799509980117E-02            50             3  -0.35397340E+02
  0.1465028596998565E+01   0.5108499233953645E-21  -0.2824315890323872E-02            50             3  -0.35388334E+02
  0.1479825385828251E+01  -0.7656403952848373E-21  -0.2804845892590092E-02            50             3  -0.33364964E+02
  0.1494771622225116E+01  -0.1967792433512976E-21  -0.2785391891982417E-02            50             3  -0.34677937E+02
  0.1509868815609590E+01  -0.1566233284018914E-20  -0.2765956244975445E-02            50             3  -0.33010886E+02
  0.1525118490647247E+01   0.2822063238811350E-20  -0.2746541288006449E-02            50             3  -0.32679262E+02
  0.1540522187402784E+01  -0.1229904783098527E-20  -0.2727149336206152E-02            50             3  -0.32946706E+02
  0.1556081461495552E+01   0.1907053972810036E-20  -0.2707782682169754E-02            50             3  -0.32937808E+02
  0.1571797884256657E+01  -0.7404114862054999E-21  -0.2688443594769261E-02            50             3  -0.33622087E+02
  0.1587673042887649E+01  -0.1434709738404450E-21  -0.2669134318008042E-02            50             3  -0.34624804E+02
  0.1603708540620814E+01  -0.3332996282714910E-21  -0.2649857069918465E-02            50             3  -0.34615831E+02
