 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.000000000000000E+000,
 NU      =  1.000000000000000E-003,
 FNU     =  0.500010000000000     ,
 DLR     =  1.000000000000000E-004,
 DLI     =  1.000000000000000E-004,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+120,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 INUMAX  =       10000
 $END
 wr =   0.000000000000000E+000
 wi =   5.586035480670859E-003
 Landua mode (nu = 0)      0.                       0.5621517002683745E-02
 nu                       wr                       wi                       nmax          nmin          funk           
  0.1000000000000000E-02  -0.1085436075122699E-19   0.5619407232729403E-02          3200             3  -0.36651439E+02
  0.5000100000000000E-03   0.2508421858933578E-19   0.5620462131645352E-02          6400             3  -0.36651377E+02
  0.2500100001000000E-03   0.9512728068755173E-20   0.5620989565376744E-02          6400             3  -0.36652235E+02
  0.1250075001500010E-03  -0.1052034760950188E-19   0.5621253280946370E-02         12800             3  -0.36652340E+02
  0.6250500015000198E-04  -0.1484593153549166E-19   0.5621385139725517E-02         25600             3  -0.36652281E+02
  0.3125312512500249E-04  -0.1300331791983174E-19   0.5621451070022928E-02         25600             3  -0.36652370E+02
  0.1000000000000000E-02  -0.1085436075122699E-19   0.5619407232729403E-02          3200             3  -0.36651439E+02
  0.1050001000000000E-02  -0.2284980784528417E-19   0.5619301734764987E-02          3200             3  -0.35958227E+02
  0.1102502100001000E-02   0.1887983615818215E-19   0.5619190961042924E-02          3200             3  -0.36651067E+02
  0.2000000000000000E-02   0.1651276519429978E-19   0.5617297182574950E-02          1600             3  -0.35957328E+02
  0.2100002000000000E-02   0.2295157558080095-307   0.5617086157935150E-02          1600             3  -0.70317476E+03
  0.2205004200002000E-02   0.1102790028695580E-19   0.5616864578838738E-02          1600             3  -0.36650206E+02
  0.1000000000000000E-01  -0.3375359318030014E-20   0.5600406716653739E-02           800             3  -0.41908927E+02
  0.5000000000000000E-01   0.8921770442965716E-20   0.5515689316165199E-02           200             3  -0.36601229E+02
  0.5250005000000000E-01  -0.2367509317149713-307   0.5510379916602743E-02           200             3  -0.70303468E+03
  0.5512510500005000E-01   0.2867502563591516-307   0.5504803238273542E-02           200             3  -0.70283736E+03
  0.5788141537515749E-01  -0.1040099317267289E-18   0.5498945737830515E-02           200             3  -0.35896150E+02
  0.6077554402533074E-01   0.5269470341880584E-20   0.5492793177428941E-02           200             3  -0.36590189E+02
  0.6381438200214130E-01   0.6633068942130764E-20   0.5486330588424083E-02           200             3  -0.36587027E+02
  0.6700516491663037E-01   0.3877463444893266-307   0.5479542233131107E-02           200             3  -0.70250967E+03
  0.7035549016762681E-01   0.3356119726149033-307   0.5472411564545910E-02           200             3  -0.70264673E+03
  0.7387333503149832E-01   0.0000000000000000E+00   0.5464921183921639E-02           200             3  -0.12000000E+03
  0.7756707565640826E-01   0.1410007112776461E-19   0.5457052796092259E-02           200             3  -0.36572559E+02
  0.8144550700630433E-01   0.1346320433545351E-19   0.5448787162431443E-02           200             3  -0.36568566E+02
  0.8551786380212656E-01   0.0000000000000000E+00   0.5440104051332861E-02           200             3  -0.12000000E+03
  0.8979384251009669E-01   0.5301587779879874-307   0.5430982186096592E-02           200             3  -0.70214685E+03
  0.9428362442944403E-01  -0.1309881811572282E-19   0.5421399190106230E-02           200             3  -0.36555259E+02
  0.9899789993454065E-01  -0.1366732811476183E-19   0.5411331529183086E-02           200             3  -0.36550334E+02
  0.1039478939291676E+00  -0.1003357392106774E-19   0.5400754451007623E-02           200             3  -0.36545342E+02
  0.1091453925735199E+00  -0.3079058874151736-307   0.5389641921505211E-02           200             3  -0.70264755E+03
  0.1146027713475885E+00  -0.2269212677021253E-25   0.5377966558103782E-02           200             3  -0.35435838E+02
  0.1203330245177393E+00  -0.5008705082290702E-20   0.5365699559786457E-02           200             3  -0.36528442E+02
  0.1263497960766507E+00  -0.3288432102524520-307   0.5352810633883816E-02           200             3  -0.70254366E+03
  0.1326674122302793E+00  -0.1026972496292651E-19   0.5339267919579961E-02           200             3  -0.36515433E+02
  0.1393009155092055E+00   0.3591742091414302E-19   0.5325037908146089E-02           200             3  -0.36506002E+02
  0.1462661005855813E+00  -0.7946842424312531E-20   0.5310085359967519E-02           200             3  -0.36501339E+02
  0.1535795518809610E+00   0.2869199608854153-307   0.5294373218498311E-02           200             3  -0.70261944E+03
  0.1612586830545609E+00  -0.8718727848874008E-20   0.5277862521366189E-02           200             3  -0.36485659E+02
  0.1693217784659720E+00  -0.2358444657810837E-19   0.5260512308964377E-02           200             3  -0.35783935E+02
  0.1777880367110490E+00  -0.1222425123955885-306   0.5242279531012806E-02           200             3  -0.70095641E+03
  0.1866776163346382E+00   0.6613534813718859E-19   0.5223118951757022E-02           200             3  -0.38338622E+02
  0.1960116838289864E+00   0.1033913842637180E-19   0.5202983054708623E-02           200             3  -0.36449254E+02
  0.2058124640321195E+00  -0.2598623086171030-307   0.5181821948128638E-02           200             3  -0.70260140E+03
  0.2161032930461895E+00   0.6206897260677403E-18   0.5159583272829043E-02           200             3  -0.35503044E+02
  0.2269086738017920E+00   0.4606280300962417E-18   0.5136212114335343E-02           200             3  -0.35576557E+02
  0.2382543344005554E+00   0.8337731482502713E-20   0.5111650922035154E-02           200             3  -0.35712243E+02
  0.2501672893749176E+00  -0.9880596854739227E-26   0.5085839438657504E-02           200             3  -0.36393027E+02
  0.2626759040109529E+00   0.3596952755709933E-18   0.5058714644311491E-02           200             3  -0.36381467E+02
  0.2758099618874045E+00   0.5023179004291583E-18   0.5030210720388789E-02           200             3  -0.35164028E+02
  0.2896007357917366E+00  -0.1277964764650877E-19   0.5000259039930110E-02           200             3  -0.36351276E+02
  0.3040810621820592E+00  -0.6061191321108508E-18   0.4968788192595231E-02           200             3  -0.35588134E+02
  0.3192854193722243E+00   0.1178030776830882E-18   0.4935724054174880E-02           200             3  -0.37299370E+02
  0.3352500096262549E+00  -0.1374098159195543E-19   0.4900989912639236E-02           200             3  -0.35611344E+02
  0.3520128453575773E+00   0.2852390304608688E-20   0.4864506665003130E-02           200             3  -0.36287448E+02
  0.3696138396383015E+00  -0.5226583595654792E-20   0.4826193101731503E-02           200             3  -0.36269265E+02
  0.3880949012340562E+00  -0.3486747188134724-307   0.4785966297880839E-02           190             3  -0.35151955E+02
  0.4075000343906602E+00  -0.3575328387781632E-20   0.4743742132465789E-02           190             3  -0.36230739E+02
  0.4278754436102276E+00  -0.4560916683435471E-18   0.4699435959352977E-02           190             3  -0.34721161E+02
  0.4492696436661825E+00   0.7475502410141676E-20   0.4652963453907455E-02           176             3  -0.35495462E+02
  0.4717335751191353E+00   0.1151076529266505E-19   0.4604241659137167E-02           176             3  -0.35472825E+02
  0.4953207256086672E+00  -0.5874859126116579E-18   0.4553190252600669E-02           176             3  -0.34879023E+02
  0.5200872572098262E+00   0.1925909851522928E-20   0.4499733050232865E-02           170             3  -0.36118643E+02
  0.5460921401575747E+00   0.4722098953893724E-20   0.4443799754925931E-02           170             3  -0.36093081E+02
  0.5733972932575936E+00  -0.1618916077823010E-18   0.4385327945769520E-02           162             3  -0.34651676E+02
  0.6020677313177665E+00  -0.1008074046118648E-19   0.4324265288210746E-02           162             3  -0.34787061E+02
  0.6321717199513861E+00  -0.5673031132612215E-20   0.4260571926400390E-02           162             3  -0.34913111E+02
  0.6637809381206753E+00  -0.3338280006292209E-20   0.4194222997581296E-02           152             3  -0.35577034E+02
  0.6969706488076471E+00   0.5960248088032778E-18   0.4125211186105725E-02           152             3  -0.33757043E+02
  0.7318198782186783E+00   0.1359664896074438E-19   0.4053549213672867E-02           152             3  -0.34311650E+02
  0.7684116039494905E+00  -0.4202905625782700E-20   0.3979272145191117E-02           145             3  -0.35483477E+02
